Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
ProplayerSSoccer;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=3887;2;1;-;-;-;-;-;-;-;-;-
Camilo Suarez Manager;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=8763;9;1;-;-;-;-;-;-;-;-;-
OSE Sports;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=2168;2;1;-;-;-;-;-;-;-;-;-
Eurotalents Sportmanagement;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=7371;3;1;-;-;-;-;-;-;-;-;-
Asensio Sports;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=12701;5;1;-;-;-;-;-;-;-;-;-
Agencia Staff Football Talents Agency;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7806;4;1;-;-;-;-;-;-;-;-;-
JK88 SPORTS MANAGEMENT;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=10767;5;1;-;-;-;-;-;-;-;-;-
First Choice Sport Management;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=8842;1;1;-;-;-;-;-;-;-;-;-
R.D. Football Scouting;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=11908;4;1;-;-;-;-;-;-;-;-;-
Fundamental Sports Agency;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=10645;13;1;-;-;-;-;-;-;-;-;-
S99 Agency;India;https://www.transfermarkt.com/berater/beraterfirma?id=10537;14;1;-;-;-;-;-;-;-;-;-
Sports Technology and Entertainment;United States;https://www.transfermarkt.com/berater/beraterfirma?id=11020;2;1;-;-;-;-;-;-;-;-;-
Lcm Agenciamento de Profissionais Esportivos Ltda;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6625;4;1;-;-;-;-;-;-;-;-;-
Elite Sports Soccer 18 SL;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7749;4;1;-;-;-;-;-;-;-;-;-
MARTINS DAMIEN TALENT MANAGEMENT LTD;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=8816;1;1;-;-;-;-;-;-;-;-;-
Rotceh Master Agency, C.A.;Malta;https://www.transfermarkt.com/berater/beraterfirma?id=8910;5;1;-;-;-;-;-;-;-;-;-
Supernatural Talent;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11842;2;1;-;-;-;-;-;-;-;-;-
One Soccer Agency;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=3577;7;1;-;-;-;-;-;-;-;-;-
International Football Manager Kft.;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=1828;37;1;-;-;-;-;-;-;-;-;-
Team One Invest - World Sports Int. Ltd;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=662;3;1;-;-;-;-;-;-;-;-;-
Bonbinisportconsultancy;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=7277;2;1;-;-;-;-;-;-;-;-;-
Replay Consulting LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=8323;4;1;-;-;-;-;-;-;-;-;-
LFJ & Partners Sport Development;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9634;8;1;-;-;-;-;-;-;-;-;-
Willie McKay;Scotland;https://www.transfermarkt.com/berater/beraterfirma?id=242;13;1;-;-;-;-;-;-;-;-;-
VoMa Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2320;6;1;-;-;-;-;-;-;-;-;-
PRO LEGEND PICKERS;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=12803;4;1;-;-;-;-;-;-;-;-;-
Edwino Sports;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6202;2;1;-;-;-;-;-;-;-;-;-
Marcelo Rincon;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10364;4;1;-;-;-;-;-;-;-;-;-
BTS Agency;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=3366;9;1;-;-;-;-;-;-;-;-;-
ROYAL MANAGEMENT - PKE - PFC;France;https://www.transfermarkt.com/berater/beraterfirma?id=7409;18;1;-;-;-;-;-;-;-;-;-
Altius Management;United States;https://www.transfermarkt.com/berater/beraterfirma?id=12319;4;1;-;-;-;-;-;-;-;-;-
Remix Sport Management;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=9776;3;1;-;-;-;-;-;-;-;-;-
Final Sprint international;DR Congo;https://www.transfermarkt.com/berater/beraterfirma?id=9345;2;1;-;-;-;-;-;-;-;-;-
Calvin Sports Management UK LTD;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6345;15;1;-;-;-;-;-;-;-;-;-
Lewis Sarfo Management Empire;Ghana;https://www.transfermarkt.com/berater/beraterfirma?id=12863;-;-;-;-;-;-;-;-;-;-;-
Balltoni_Agency;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=11422;-;-;-;-;-;Al Marsa Street - Marina;000000, Dubai;9,71586E+11;;info@balltoni.com;balltoni.com
ARGSAL Universal Sports Agency;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=10143;2;-;-;-;-;-;Buenos Aires;-30582598;;-;
Sky Global Sports;United States;https://www.transfermarkt.com/berater/beraterfirma?id=12869;-;-;-;-;-;-;Dallas;9452256628;-;Skyglobalsports@aol.com;-
360 Horizon Consulting;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=10118;2;-;-;-;-;Sattelstr 19;70327, Stuttgart;4,91521E+12;;360horizonconsulting@gmail.com;
NextGen;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12224;-;-;-;-;-;Rodovia Antonio Heil, 250;88353100, Brusque;+55 47991936779;;-;
M+ Sports Agency;Indonesia;https://www.transfermarkt.com/berater/beraterfirma?id=12877;-;-;-;-;-;-;-;-;-;-;-
DB & EQUIPE;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=11976;-;-;-;-;-;Karlovacka cesta 32A;10000, Zagreb;+49 (0) 89 665 935 83;;info@db-equipe.com;www.db-equipe.com
Sportify Sport Management;France;https://www.transfermarkt.com/berater/beraterfirma?id=12649;-;-;-;-;-;-;-;-;-;-;-
BMG Sports;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=4663;2;-;-;-;-;-;-;-;-;-;-
ONSIDE;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=4688;-;-;-;-;-;-;-;-;-;-;-
b.all;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2921;1;-;-;-;-;-;-;-;-;-;-
Bastian Schweinsteiger Family Office;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4585;1;-;-;-;-;-;-;+49 (0) 89 64167583;;family-office@bastian-schweinsteiger.com;
LPM Sports GmbH & Co. KG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4703;-;-;-;-;-;-;-;-;-;-;-
FGSL Consulting;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=10658;-;-;-;-;-;Burj Khalifa Boulevard;126732, Dubai;00 9714 427 3772;-;contact@fgsl.biz;www.fgsl.biz
Evolution Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3472;-;-;-;-;-;-;-;-;-;-;-
Dieter Janssen Spielerberater;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=12766;-;-;-;-;-;Giesenheide 15;40724, Hilden;0172 2118892;-;dj@spielerberatung-janssen.de;www.spielerberatung-janssen.de
Craques Sports Agency LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=11518;-;-;-;-;-;7901 4TH ST N STE 300 , ST PETERSBURG FL;33702, FLORIDA;-7091;;-;https://brand.page/Craquessportsagencyll
MHsportsagents GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=6933;-;-;-;-;-;-;-;-;-;-;-
DAS MASCHINE Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4558;-;-;-;-;-;-;-;-;-;-;-
MASL - Sport Lawyers;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=1830;-;-;-;-;-;-;-;-;-;-;-
ISM Matchplan GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3221;5;-;-;-;-;-;-;-;-;-;-
TEAMVISION soccer GmbH & Co. KG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=6020;-;-;-;-;-;-;-;-;-;-;-
KINGSPORT AGENCY;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11634;-;-;-;-;-;175 Piccadilly, St. James’s;W1J 9EN, London;+44 7413347239;-;contact@kingsportagency.com;www.kingsportagency.com
Holger Badstuber Family Office;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4728;1;-;-;-;-;-;-;+49 (0) 89 64167586;;family-office@holger-badstuber.com;
Messner Reeves LLP;United States;https://www.transfermarkt.com/berater/beraterfirma?id=5146;-;-;-;-;-;-;-;-;-;-;-
FC NORIS – German Player’s Agent Agency;Cameroon;https://www.transfermarkt.com/berater/beraterfirma?id=2359;2;-;-;-;-;-;-;-;-;-;-
VL Sports International;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11906;-;-;-;-;-;-;-;31613196689;-;info@vlsportsinternational.com;-
Deceptican Holdings LtD;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=12890;-;-;-;-;-;-;-;-;-;-;-
LINKPLAYER;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=7748;2;-;-;-;-;-;-;-;-;-;-
msc sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2089;-;-;-;-;-;-;-;-;-;-;-
Paradise Athletics IKE;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=5909;-;-;-;-;-;-;-;-;-;-;-
sport & more;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=5315;-;-;-;-;-;-;-;-;-;-;-
EVOLUTION SPORT CONSEIL;France;https://www.transfermarkt.com/berater/beraterfirma?id=9997;-;-;-;-;-;-;-;-;-;-;-
Football Factory;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5729;2;-;-;-;-;-;-;-;-;-;-
Seven United GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=6753;-;-;-;-;-;-;-;-;-;-;-
4pro Sportmanagement GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3610;-;-;-;-;-;-;-;-;-;-;-
ADH Sport Management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=11860;1;-;-;-;-;Emmastraße.25;40227, Düsseldorf;4,91768E+12;;adhsportmanagement@web.de;
Performers Balance;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=276;-;-;-;-;-;-;-;-;-;-;-
ÖK International Soccer Management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5165;-;-;-;-;-;-;-;-;-;-;-
Finally FOOTBALL GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3598;-;-;-;-;-;-;-;-;-;-;-
ARS Sport Agentur;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=12395;-;-;-;-;-;-;-;-;-;-;-
YA Fussball - Sag JA zu Fußball;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2973;-;-;-;-;-;-;-;-;-;-;-
DSM11 Talents;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6877;-;-;-;-;-;-;-;-;-;-;-
Sport-Consulting & Management GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=3732;-;-;-;-;-;-;-;-;-;-;-
MINDSET SPORT;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11629;-;-;-;-;-;9 Belvedere Road;SE1 8YP, Londres;629451206;;-;
Agency of Trust Heinz Karner Sports Management GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=5462;-;-;-;-;-;-;-;-;-;-;-
Sport & Talent Agency;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2530;-;-;-;-;-;-;-;+49 176 43801294;;info@sport-talent-agency.com;
Dr. Martin von Raissbach;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=6334;-;-;-;-;-;-;-;-;-;-;-
Kollect Partners;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=12821;-;-;-;-;-;-;-;-;-;-;-
Starge Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=2970;-;-;-;-;-;-;-;-;-;-;-
e.t.sports Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=8799;2;-;-;-;-;-;-;-;-;-;-
Willi Hoffmann;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1994;-;-;-;-;-;-;-;-;-;-;-
Soccernetwork;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3430;-;-;-;-;-;-;-;-;-;-;-
3A;France;https://www.transfermarkt.com/berater/beraterfirma?id=4822;-;-;-;-;-;-;-;-;-;-;-
Consilium Sport;France;https://www.transfermarkt.com/berater/beraterfirma?id=11045;-;-;-;-;-;-;-;-;-;-;-
The Nordic Group Football Consulting;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=11638;2;-;1;-;-;-;-;46739792470;;info@tngfootball.com;www.tngfootball.com
MH Agency;Latvia;https://www.transfermarkt.com/berater/beraterfirma?id=6808;-;-;-;-;-;-;-;-;-;-;-
GiMa Consulting;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=8914;-;-;-;-;-;-;-;-;-;-;-
Nexball Sports Management;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=9252;-;-;-;-;-;-;-;-;-;-;-
not_only_football;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=11564;-;-;-;-;-;-;-;-;-;-;-
m-one-s Sportconsulting;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2302;-;-;-;-;-;-;-;-;-;-;-
Baltoro Soccer House;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=4950;-;-;-;-;-;-;-;-;-;-;-
JDB Worldwide Football Partners;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5020;-;-;-;-;-;-;-;-;-;-;-
TEAMZONEsports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3882;-;-;-;-;-;-;-;-;-;-;-
Albrecht Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4292;-;-;-;-;-;-;-;-;-;-;-
Soccer Star Group;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=9440;7;-;-;-;-;-;-;-;-;-;-
BBC Management GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1414;2;-;-;-;-;-;-;-;-;-;-
BDM-Sportmanagement GbR;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2635;-;-;-;-;-;-;-;-;-;-;-
BIGinSports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3434;13;-;-;-;-;-;-;-;-;-;-
SWS Rechtsanwälte;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=7651;2;-;-;-;-;-;-;-;-;-;-
Dr. Olaf Meinking / M26 Hamburg;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3531;-;-;-;-;-;-;-;-;-;-;-
Avogama International;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=12115;-;-;-;-;-;-;-;+33 6 98 36 23 10;-;afifavog@gmail.com;-
Thorsten Weck Sportmanagement GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=721;3;-;-;-;-;-;-;-;-;-;-
bj-sport & N-Konzept;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2337;-;-;-;-;-;-;-;-;-;-;-
SPORTMANAGEMENT-BREISGAU;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1040;-;-;-;-;-;-;-;-;-;-;-
Half-Time Agency;Kosovo;https://www.transfermarkt.com/berater/beraterfirma?id=12200;-;-;-;-;-;Rr. Garibaldi, Bloku 1, HY2, No.19;10000, Prishtine;38344164027;;-;https://halftime.agency/
Uniqueworx GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=8777;4;-;-;-;-;-;-;-;-;-;-
Sports Contact GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3367;-;-;-;-;-;-;-;-;-;-;-
Kinetic Sports Consultants;Zambia;https://www.transfermarkt.com/berater/beraterfirma?id=12008;1;-;-;-;-;17 Kamfinsa Drive, Riverside;10101, Kitwe;2,60962E+11;;kineticsportsconsultants@gmail.com;
Max Romano Soccer;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5130;-;-;-;-;-;-;-;-;-;-;-
advancesport AG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1965;-;-;-;-;-;-;-;-;-;-;-
MP21 Sportmanagement GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2413;-;-;-;-;-;-;-;-;-;-;-
SKYGOAL;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=7577;6;-;-;-;-;-;-;-;-;-;-
Uplift11;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8372;10;-;-;-;-;-;-;-;-;-;-
Test2000;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=9469;-;-;-;-;-;-;-;-;-;-;-
UB Sport management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1600;-;-;-;-;-;-;-;-;-;-;-
Germany FS;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5213;9;-;-;-;-;-;-;-;-;-;-
Qivolution GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=2471;-;-;-;-;-;-;-;-;-;-;-
Die Spielerberater GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=10962;4;-;-;-;-;-;-;-;-;-;-
GTA Trust Legal Sport;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=6700;-;-;-;-;-;-;-;-;-;-;-
BTR Profisport;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2044;-;-;-;-;-;-;-;-;-;-;-
Anton Berezovsky;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4185;-;-;-;-;-;-;-;-;-;-;-
OTSS-SPORTSMANAGEMENT GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=7126;4;-;-;-;-;-;-;-;-;-;-
4You Sportagency GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=2177;10;-;-;-;-;-;-;-;-;-;-
EURODATA Sports Ltd. UK;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11620;-;-;-;-;-;-;-;-;-;-;-
Thomas Gottfried;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1561;-;-;-;-;-;-;-;-;-;-;-
RinoAro Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=11576;-;-;-;-;-;Sulburgring 19;33014, Bad Driburg;3,85915E+11;-;arsim@rinoaro-sports.com;-
AarJes Sebastian Grysiak;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=12021;-;-;-;-;-;-;-;-;-;-;-
Pines;Senegal;https://www.transfermarkt.com/berater/beraterfirma?id=12598;-;-;-;-;-;-;-;2,21781E+11;-;pines.dakar@gmail.com;-
All Star Football;North Macedonia;https://www.transfermarkt.com/berater/beraterfirma?id=2040;9;-;-;-;-;-;-;-;-;-;-
Eric Depolo Football Agency Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11134;-;-;-;-;-;-;-;-;-;-;-
Burnić Sport;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=6296;-;-;-;-;-;-;-;-;-;-;-
Asgnorge Akuneziri;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=5618;2;-;-;-;-;-;-;-;-;-;-
DA Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1984;-;-;-;-;-;-;-;-;-;-;-
CAPACITY SPORT;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5836;-;-;-;-;-;-;-;-;-;-;-
Adrestia Sports Management, LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=5655;3;-;-;-;-;-;-;-;-;-;-
Ziegler sports GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5815;-;-;-;-;-;-;-;-;-;-;-
Sportmanagement & Sportmarketing Christof;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1435;-;-;-;-;-;-;-;-;-;-;-
DFP consultation for sportsmen;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=680;9;-;-;-;-;-;-;-;-;-;-
left foot 21;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1549;22;-;-;-;-;-;-;-;-;-;-
Jalil El Outmani;Morocco;https://www.transfermarkt.com/berater/beraterfirma?id=8294;-;-;-;-;-;-;-;-;-;-;-
Pro Manager Sports & Marketing;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=4183;7;-;-;-;-;-;-;-;-;-;-
Sport Service;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=367;-;-;-;-;-;-;-;-;-;-;-
TLNT;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9149;-;-;-;-;-;-;-;-;-;-;-
Rechtsanwalts- und Notarkanzlei Mozelewski & Mozelewski;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1366;-;-;-;-;-;-;-;-;-;-;-
Roberts Sports Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=12823;-;-;-;-;-;-;-;-;-;-;-
TIEFGANG Sports GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=9865;-;-;-;-;-;-;-;-;-;-;-
YOUSPORT - DIRITTO SPORTIVO;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=7121;-;-;-;-;-;-;-;-;-;-;-
ISMA S.r.l.s.;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=9783;4;-;-;-;-;-;-;-;-;-;-
Studio62;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5372;-;-;-;-;-;-;-;-;-;-;-
Kancelaria Radcy Prawnego Radosz Pawlikowski;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=7436;-;-;-;-;-;-;-;-;-;-;-
DIAMOND SPORTS AGENCY;Ghana;https://www.transfermarkt.com/berater/beraterfirma?id=11298;-;-;-;-;-;-;-;-;-;-;-
MJ Base Management;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=12314;-;-;-;-;-;-;-;-;-;-;-
World ProSports Management Limited;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=483;7;-;-;-;-;-;-;-;-;-;-
DK - Talent Scout;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=2519;8;-;-;-;-;-;-;-;-;-;-
Azhvan Sport;Iran;https://www.transfermarkt.com/berater/beraterfirma?id=12602;-;-;-;-;-;-;-;-;-;-;-
FM Sports Promotion;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=4588;-;-;-;-;-;-;-;-;-;-;-
connect sports management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1448;-;-;-;-;-;-;-;-;-;-;-
BV Talents;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2959;4;-;-;-;-;-;-;-;-;-;-
ABC Sports Management & Entertainment;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=5092;-;-;-;-;-;-;-;-;-;-;-
Seven Eleven Sports Managment;Zambia;https://www.transfermarkt.com/berater/beraterfirma?id=7156;-;-;-;-;-;-;-;-;-;-;-
Begloball;The Gambia;https://www.transfermarkt.com/berater/beraterfirma?id=1988;6;-;-;-;-;-;-;-;-;-;-
Studio Legale Bianchi;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3388;-;-;-;-;-;-;-;-;-;-;-
CESGAR SPORT AGENCY;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=9817;-;-;-;-;-;-;-;-;-;-;-
Pedro Marchante Gonzalez;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6466;-;-;-;-;-;-;-;-;-;-;-
Gentium Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=9439;5;-;-;-;-;-;-;-;-;-;-
Samba sportmanagement;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=4526;1;-;-;-;-;-;-;-;-;-;-
LIROMA AGENCIAMENTO ESPORTIVO LTD;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=3097;-;-;-;-;-;-;-;-;-;-;-
LKI - Lonrisk International Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6785;6;-;-;-;-;-;-;-;-;-;-
Aleph Tav Soccer Agency, L.L.C;United States;https://www.transfermarkt.com/berater/beraterfirma?id=11649;-;-;-;-;-;-;-;-;-;-;-
Actie Reactie Sportmanagement;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=9740;-;-;-;-;-;-;-;-;-;-;-
Wirtschaftsberatung eastbridge Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3818;-;-;-;-;-;-;-;-;-;-;-
Krit Agent;Thailand;https://www.transfermarkt.com/berater/beraterfirma?id=6164;-;-;-;-;-;-;-;-;-;-;-
ASESORIA DEPORTIVA ELITE SOCCER;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7187;-;-;-;-;-;-;-;-;-;-;-
AM SPORTS;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=2732;-;-;-;-;-;-;-;-;-;-;-
MLP Company;Jordan;https://www.transfermarkt.com/berater/beraterfirma?id=12318;-;-;-;-;-;-;-;-;-;-;-
NEO Vision Agency;Vietnam;https://www.transfermarkt.com/berater/beraterfirma?id=11390;-;-;-;-;-;-;-;-;-;-;-
sportsgaloreng.com;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=6819;-;-;-;-;-;-;-;-;-;-;-
Me Talent Management Agency;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7809;1;-;-;-;-;-;-;-;-;-;-
D&E Agency;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=11682;-;-;-;-;-;-;-;-;-;-;-
FAME US Sport Agency;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2182;10;-;-;-;-;-;-;-;-;-;-
"Agencja piłkarska ""WS Progres""";Poland;https://www.transfermarkt.com/berater/beraterfirma?id=5786;-;-;-;-;-;-;-;-;-;-;-
challenge US;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=5882;1;-;-;-;-;-;-;-;-;-;-
Omni intercontinental sports agency limited Nigeria;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=6911;-;-;-;-;-;-;-;-;-;-;-
AMB SPORTS;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=11770;-;-;-;-;-;-;-;-;-;-;-
NMD;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=8870;-;-;-;-;-;-;-;-;-;-;-
Massa Co.;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=12693;-;-;-;-;-;-;-;-;-;-;-
Soccerlife Fussballschule Gert Engels;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=8365;-;-;-;-;-;-;-;-;-;-;-
SportGlobal & Intermediation;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3574;4;-;-;-;-;-;-;-;-;-;-
ACB MOZAMBIQUE;Mozambique;https://www.transfermarkt.com/berater/beraterfirma?id=12646;-;-;-;-;-;-;-;-;-;-;-
CommFit;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=3765;-;-;-;-;-;-;-;-;-;-;-
Debayo Agency;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=11722;-;-;-;-;-;-;-;-;-;-;-
RIÓ KFT;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=4140;1;-;-;-;-;-;-;-;-;-;-
JFM;France;https://www.transfermarkt.com/berater/beraterfirma?id=9730;-;-;-;-;-;-;-;-;-;-;-
